Date,Value,ID,Description,Balance
25/03/2024,-45.20,1a2b3c4d5e6f7g8h9i0j,Bus Ticket,10876.25
27/03/2024,-110.15,2b3c4d5e6f7g8h9i0j1a,Concert,10766.10
29/03/2024,-35.80,3c4d5e6f7g8h9i0j1a2b,Lyft,10730.30
31/03/2024,-60.35,4d5e6f7g8h9i0j1a2b3c,Market,10669.95
02/04/2024,-25.90,5e6f7g8h9i0j1a2b3c4d,Bar,10644.05
04/04/2024,2500.00,6f7g8h9i0j1a2b3c4d5e,Salary,13144.05
06/04/2024,-22.75,7g8h9i0j1a2b3c4d5e6f,Starbucks,13121.30
08/04/2024,-60.30,8h9i0j1a2b3c4d5e6f7g,Transfer to Emily White,13061.00
10/04/2024,-150.50,9i0j1a2b3c4d5e6f7g8h,Walmart,12910.50
12/04/2024,-90.25,0j1a2b3c4d5e6f7g8h9i,Gas Station,12820.25
14/04/2024,-45.10,1a2b3c4d5e6f7g8h9i0j,Uber,12775.15
16/04/2024,-105.45,2b3c4d5e6f7g8h9i0j1a,Restaurant,12669.70
18/04/2024,800.00,3c4d5e6f7g8h9i0j1a2b,Transfer from Frank Green,13469.70
20/04/2024,-35.60,4d5e6f7g8h9i0j1a2b3c,Public Transportation,13434.10
22/04/2024,-80.75,5e6f7g8h9i0j1a2b3c4d,Target,13353.35
24/04/2024,-50.20,6f7g8h9i0j1a2b3c4d5e,Bus Ticket,13303.15
26/04/2024,-120.15,7g8h9i0j1a2b3c4d5e6f,Concert,13183.00
28/04/2024,-40.80,8h9i0j1a2b3c4d5e6f7g,Lyft,13142.20
30/04/2024,-70.35,9i0j1a2b3c4d5e6f7g8h,Market,13071.85
02/05/2024,-30.90,0j1a2b3c4d5e6f7g8h9i,Bar,13040.95
04/05/2024,2500.00,1a2b3c4d5e6f7g8h9i0j,Salary,15540.95
06/05/2024,-25.75,2b3c4d5e6f7g8h9i0j1a,Starbucks,15515.20
08/05/2024,-65.30,3c4d5e6f7g8h9i0j1a2b,Transfer to George Brown,15449.90
10/05/2024,-160.50,4d5e6f7g8h9i0j1a2b3c,Walmart,15289.40
12/05/2024,-100.25,5e6f7g8h9i0j1a2b3c4d,Gas Station,15189.15
14/05/2024,-50.10,6f7g8h9i0j1a2b3c4d5e,Uber,15139.05
16/05/2024,-115.45,7g8h9i0j1a2b3c4d5e6f,Restaurant,15023.60
18/05/2024,900.00,8h9i0j1a2b3c4d5e6f7g,Transfer from Helen Black,15923.60
20/05/2024,-40.60,9i0j1a2b3c4d5e6f7g8h,Public Transportation,15883.00
22/05/2024,-90.75,0j1a2b3c4d5e6f7g8h9i,Target,15792.25
24/05/2024,-55.20,1a2b3c4d5e6f7g8h9i0j,Bus Ticket,15737.05
26/05/2024,-130.15,2b3c4d5e6f7g8h9i0j1a,Concert,15606.90
28/05/2024,-45.80,3c4d5e6f7g8h9i0j1a2b,Lyft,15561.10
30/05/2024,-80.35,4d5e6f7g8h9i0j1a2b3c,Market,15480.75
01/06/2024,-35.90,5e6f7g8h9i0j1a2b3c4d,Bar,15444.85
03/06/2024,2500.00,6f7g8h9i0j1a2b3c4d5e,Salary,17944.85
05/06/2024,-28.75,7g8h9i0j1a2b3c4d5e6f,Starbucks,17916.10
07/06/2024,-70.30,8h9i0j1a2b3c4d5e6f7g,Transfer to Ian White,17845.80
09/06/2024,-170.50,9i0j1a2b3c4d5e6f7g8h,Walmart,17675.30
11/06/2024,-110.25,0j1a2b3c4d5e6f7g8h9i,Gas Station,17565.05
13/06/2024,-55.10,1a2b3c4d5e6f7g8h9i0j,Uber,17509.95
15/06/2024,-125.45,2b3c4d5e6f7g8h9i0j1a,Restaurant,17384.50
17/06/2024,1000.00,3c4d5e6f7g8h9i0j1a2b,Transfer from Jack White,18384.50
19/06/2024,-45.60,4d5e6f7g8h9i0j1a2b3c,Public Transportation,18338.90
21/06/2024,-100.75,5e6f7g8h9i0j1a2b3c4d,Target,18238.15
23/06/2024,-60.20,6f7g8h9i0j1a2b3c4d5e,Bus Ticket,18177.95
25/06/2024,-140.15,7g8h9i0j1a2b3c4d5e6f,Concert,18037.80
27/06/2024,-50.80,8h9i0j1a2b3c4d5e6f7g,Lyft,17987.00
29/06/2024,-90.35,9i0j1a2b3c4d5e6f7g8h,Market,17896.65
30/06/2024,-40.90,0j1a2b3c4d5e6f7g8h9i,Bar,17855.75
